id_osm,data_implementacao
200188113,2023-12-01
200188114,2023-12-01
200188115,2023-12-01
200188116,2023-12-01
207738559,2023-12-01
207738563,2023-12-01
207738564,2023-12-01
207738566,2023-12-01
211051259,2023-12-01
225435386,2023-12-01
225435395,2023-12-01
227324138,2023-12-01
231391718,2023-12-01
235497096,2023-12-01
235497098,2023-12-01
236732297,2023-12-01
237048426,2023-12-01
237745075,2023-12-01
237745076,2023-12-01
237745077,2023-12-01
237745080,2023-12-01
237745081,2023-12-01
239019893,2023-12-01
239019896,2023-12-01
239019899,2023-12-01
241726682,2023-12-01
252170951,2023-12-01
255792501,2023-12-01
255792502,2023-12-01
261785588,2023-12-01
261785590,2023-12-01
261785593,2023-12-01
261785597,2023-12-01
269678072,2023-12-01
269678074,2023-12-01
269678075,2023-12-01
290223559,2023-12-01
290573338,2023-12-01
290573339,2023-12-01
320124235,2023-12-01
322495611,2023-12-01
325009427,2023-12-01
325009428,2023-12-01
325015628,2023-12-01
325320407,2023-12-01
325320411,2023-12-01
325320414,2023-12-01
325320418,2023-12-01
328584565,2023-12-01
369907161,2023-12-01
369907162,2023-12-01
369907180,2023-12-01
369907182,2023-12-01
369907184,2023-12-01
369907186,2023-12-01
369907187,2023-12-01
369907189,2023-12-01
369907191,2023-12-01
369907193,2023-12-01
369907195,2023-12-01
369907197,2023-12-01
369907199,2023-12-01
369907202,2023-12-01
369907203,2023-12-01
369907206,2023-12-01
369907207,2023-12-01
369907208,2023-12-01
369907210,2023-12-01
369907212,2023-12-01
369907213,2023-12-01
369907215,2023-12-01
375827091,2023-12-01
375827097,2023-12-01
401011169,2023-12-01
401011170,2023-12-01
411754838,2023-12-01
416453603,2023-12-01
416453604,2023-12-01
417991507,2023-12-01
419494694,2023-12-01
422240316,2023-12-01
439631884,2023-12-01
439634848,2023-12-01
439634849,2023-12-01
446910397,2023-12-01
446910398,2023-12-01
446913614,2023-12-01
450151832,2023-12-01
453762467,2023-12-01
453762468,2023-12-01
453762474,2023-12-01
500738884,2023-12-01
506584350,2023-12-01
569473915,2023-12-01
615015087,2023-12-01
615324080,2023-12-01
618144971,2023-12-01
628293209,2023-12-01
641993309,2023-12-01
649260332,2023-12-01
649260333,2023-12-01
649260336,2023-12-01
659063041,2023-12-01
665436343,2023-12-01
713675394,2023-12-01
780570635,2023-12-01
850580104,2023-12-01
902747881,2023-12-01
902747882,2023-12-01
909954984,2023-12-01
909954997,2023-12-01
910645454,2023-12-01
911542379,2023-12-01
911542380,2023-12-01
917091784,2023-12-01
923545472,2023-12-01
931227268,2023-12-01
931227277,2023-12-01
931227278,2023-12-01
933030541,2023-12-01
933030542,2023-12-01
933030543,2023-12-01
933046035,2023-12-01
933079323,2023-12-01
933562137,2023-12-01
933617621,2023-12-01
933617622,2023-12-01
933617623,2023-12-01
933632136,2023-12-01
933632137,2023-12-01
933921782,2023-12-01
933942985,2023-12-01
933942986,2023-12-01
933942987,2023-12-01
933942988,2023-12-01
933942989,2023-12-01
933966224,2023-12-01
933966225,2023-12-01
933966226,2023-12-01
934340895,2023-12-01
935465413,2023-12-01
936777125,2023-12-01
936793528,2023-12-01
936793531,2023-12-01
936793532,2023-12-01
936793533,2023-12-01
936793534,2023-12-01
936875568,2023-12-01
937301896,2023-12-01
937340957,2023-12-01
937341789,2023-12-01
937341791,2023-12-01
937436791,2023-12-01
938598494,2023-12-01
938598495,2023-12-01
938598496,2023-12-01
938598497,2023-12-01
938598499,2023-12-01
938598500,2023-12-01
938602002,2023-12-01
938602003,2023-12-01
938602004,2023-12-01
938602005,2023-12-01
938602006,2023-12-01
938602007,2023-12-01
939137478,2023-12-01
941538921,2023-12-01
941591774,2023-12-01
941591776,2023-12-01
941591777,2023-12-01
943941008,2023-12-01
945273863,2023-12-01
945273864,2023-12-01
945278714,2023-12-01
945561097,2023-12-01
945561099,2023-12-01
945566055,2023-12-01
945566056,2023-12-01
947395774,2023-12-01
947395775,2023-12-01
947395776,2023-12-01
947513351,2023-12-01
947513352,2023-12-01
948177177,2023-12-01
948253445,2023-12-01
949839345,2023-12-01
949840713,2023-12-01
949840714,2023-12-01
